pl_name,hostname,pl_letter,tic_id,pl_trandep,st_teff,st_logg,ra,dec,sy_dist,sy_tmag,Ratio,AB_Mag,Data_Size,Weight
5587.01,5587,PC,29069242,,5632,4.05,117.732887,46.306568,943.289,13.3834,0.017173069,19.54573477,1.011128532,0.5
5588.01,5588,PC,141762491,,5733,4.05,120.594795,83.198419,655.855,12.4506,0.020312754,18.43063251,1.038025203,0.5
5590.01,5590,PC,9907513,,4216.7,4.48,110.689677,37.667511,136.242,11.9639,0.000211986,22.89758497,1.008162103,0.5
5591.01,5591,PC,192969211,,5465,4.38,123.027093,42.228714,356.237,12.1721,0.014233297,18.53829075,1.01151892,0.5
5592.01,5592,PC,88529975,,6331,4.25,106.680068,65.857249,597.026,12.136,0.049699004,17.14458531,1.020150372,0.5
5593.01,5593,PC,468433454,,6549.4,4.21,128.55223,39.270972,1130.59,13.2201,0.062584668,17.97838465,1.000020173,0.5
5594.01,5594,PC,53394475,,5899,4.23,118.417987,54.124212,683.54,12.826,0.028095522,18.45386178,1.011317439,0.5
5595.01,5595,PC,302908969,,4119,4.51,110.460165,35.221983,136.955,12.1765,0.000174145,23.32367675,1.013407662,0.5
5596.01,5596,APC,203144354,,6164.3,3.83,106.336563,42.847909,1439.26,13.2995,0.042887309,18.46813256,1.01166547,0.5
5597.01,5597,PC,85284138,,6337,4.44,144.441228,34.849412,893.967,13.4913,0.051551091,18.46015989,1.000116583,0.5
5598.01,5598,PC,237108775,,3584,4.71,257.315636,80.41608,248.266,14.7371,7.78E-05,26.75930731,1.040976644,0.5
5599.01,5599,PC,159160230,,6246,3.96,199.326238,55.681539,547.948,11.2785,0.042887309,16.44713256,1.005359927,0.5
5600.01,5600,PC,287268770,,5047,4.55,155.151361,63.290591,378.06,13.1922,0.004250669,20.8705113,1.006970583,0.5
5601.01,5601,PC,237097499,,4541,4.52,239.507231,66.037182,313.795,13.3757,0.000593512,23.19158108,1.036775108,0.5
